what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469341683
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1741469343571
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741469344280
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1741469347779
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469351599
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469353726
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469353884
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469356390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469356425
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469358286
executed,command,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.launchShortcut.run",1741469358321
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741469362494
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741469362543
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1741469370001
closed,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1741469370008
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469372453
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469385869
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1741469392229
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1741469394182
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1741469394702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469421757
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1741469421986
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1741469425910
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741469483562
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineStart",1741469485103
